Time,Power,Current,Voltage
15:30:27,17.6,0.155,241.1
15:30:29,18.1,0.164,241.2
15:30:30,24.4,0.187,241.1
15:30:31,24.8,0.217,241.1
15:30:32,34.4,0.26,241.1
15:30:33,34.2,0.24,241.1
15:30:34,29.0,0.202,241.2
15:30:35,20.1,0.144,241.2
15:30:36,20.1,0.145,241.2
15:30:37,20.3,0.158,241.1
15:30:38,20.7,0.17,241.0
15:30:39,20.7,0.13,240.9
15:30:40,20.3,0.132,240.8
15:30:41,19.9,0.126,240.9
15:30:42,19.6,0.133,241.0
15:30:43,19.5,0.144,241.1
15:30:44,19.5,0.139,241.1
15:30:45,19.5,0.147,241.0
15:30:46,19.3,0.133,241.1
15:30:47,19.0,0.133,241.0
15:30:48,18.8,0.13,241.0
15:30:49,18.7,0.141,241.0
15:30:50,18.8,0.15,241.1
15:30:51,18.9,0.145,241.1
15:30:52,19.0,0.122,241.1
15:30:53,18.7,0.125,240.9
15:30:54,18.5,0.126,240.8
15:30:55,18.4,0.132,240.7
15:30:57,18.2,0.135,241.0
15:30:58,18.3,0.142,240.9
15:30:59,18.4,0.139,240.9
15:31:00,18.6,0.141,240.9
15:31:01,18.5,0.126,240.9
15:31:02,18.1,0.124,240.9
15:31:03,18.0,0.141,240.8
15:31:04,18.3,0.148,240.8
15:31:05,18.6,0.143,241.0
15:31:06,18.6,0.13,241.0
15:31:07,18.4,0.132,241.0
15:31:08,18.3,0.132,240.8
15:31:09,18.2,0.126,240.9
15:31:10,18.1,0.143,240.9
15:31:11,18.3,0.14,240.8
15:31:12,18.6,0.144,240.7
15:31:13,18.6,0.131,240.8
15:31:14,18.4,0.135,241.0
15:31:15,18.2,0.132,241.0
15:31:16,18.0,0.136,240.9
15:31:17,18.0,0.134,240.9
15:31:18,18.1,0.143,240.8
15:31:19,18.3,0.145,240.9
15:31:20,18.3,0.136,240.6
15:31:21,18.2,0.133,240.7
15:31:22,18.1,0.133,240.9
15:31:23,18.1,0.128,240.6
15:31:24,18.1,0.136,240.9
15:31:25,18.3,0.143,240.6
15:31:26,18.4,0.142,240.6
15:31:28,18.3,0.127,240.5
15:31:29,18.2,0.134,240.6
15:31:30,18.1,0.134,240.6
15:31:31,18.0,0.144,240.7
15:31:32,18.2,0.146,240.6
15:31:33,18.4,0.145,240.6
15:31:34,18.7,0.128,240.5
15:31:35,18.2,0.125,240.5
15:31:36,18.1,0.12,240.5
15:31:37,18.1,0.12,240.5
15:31:38,18.1,0.131,240.6
15:31:39,18.3,0.139,240.8
15:31:40,18.4,0.136,240.6
15:31:41,18.2,0.135,240.5
15:31:42,18.1,0.136,240.6
15:31:43,18.0,0.138,240.6
15:31:44,18.0,0.133,240.6
15:31:45,18.0,0.137,240.7
15:31:46,18.2,0.139,240.8
15:31:47,18.1,0.14,240.9
15:31:48,18.0,0.132,240.8
15:31:49,17.9,0.131,240.8
15:31:50,17.8,0.133,240.8
15:31:51,17.8,0.132,240.6
15:31:52,18.0,0.149,240.6
15:31:53,18.2,0.146,240.6
15:31:54,18.3,0.123,240.9
15:31:55,18.0,0.132,240.8
15:31:56,18.0,0.136,240.8
15:31:57,17.9,0.131,240.7
15:31:58,18.0,0.127,240.5
15:31:59,18.0,0.132,240.8
15:32:00,18.1,0.143,240.6
15:32:01,18.2,0.124,240.7
15:32:02,18.0,0.135,240.7
15:32:03,18.0,0.14,240.8
15:32:05,18.1,0.129,240.7
15:32:06,18.0,0.132,240.7
15:32:07,18.0,0.139,240.7
15:32:08,18.2,0.141,240.8
15:32:09,18.2,0.124,240.8
15:32:10,18.0,0.137,240.9
15:32:11,18.0,0.137,240.9
15:32:12,18.1,0.122,240.8
15:32:13,18.0,0.141,240.9
15:32:14,18.0,0.141,240.9
15:32:15,18.1,0.122,240.9
