Date,Watts,Volts,Amps,Start Time,Time Written Out,Command,Finished,Working Directory,Standard In,Standard Out,Standard Error
15:10:30,18.1,241.4,0.105,1,,,,,,,
15:10:31,17.6,241.5,0.116,2,,,,,,,
15:10:32,17.3,241.4,0.102,3,,,,,,,
15:10:33,17,241.3,0.14,4,,,,,,,
15:10:34,17.4,241.4,0.136,5,,,,,,,
15:10:35,17.7,241.4,0.117,6,,,,,,,
15:10:36,17.3,241.3,0.107,7,,,,,,,
15:10:37,17,241.4,0.115,8,,,,,,,
15:10:38,16.8,241.5,0.124,9,,,,,,,
15:10:39,16.9,241.4,0.117,10,,,,,,,
15:10:40,16.7,241.4,0.117,11,,,,,,,
15:10:41,16.7,241.3,0.117,12,,,,,,,
15:10:42,16.7,241.2,0.125,13,,,,,,,
15:10:43,16.8,241.3,0.126,14,,,,,,,
15:10:44,17,241.3,0.13,15,,,,,,,
15:10:45,17.2,241.3,0.135,16,,,,,,,
15:10:46,17.1,241.1,0.104,17,,,,,,,
15:10:47,16.7,241.3,0.108,18,,,,,,,
15:10:48,16.4,241.5,0.106,19,15:10:48,java -jar ISQoSTestApp.jar 5 5 30,FALSE,C:\Users\Richard\Documents\University Work\Research\ASCETiC\ProjectSVN\trunk\utils\wattsup\.,,test.out,error.out
15:10:49,16.1,241.6,0.115,20,Duration,00:00:31,,,,,
15:10:50,16.1,241.4,0.132,21,,,,,,,
15:10:51,16.4,241.7,0.153,22,,,,,,,
15:10:52,22.9,241.8,0.165,23,,,,,,,
15:10:53,23.1,241.8,0.176,24,,,,,,,
15:10:54,23.7,241.9,0.204,25,,,,,,,
15:10:55,29.1,241.9,0.219,26,,,,,,,
15:10:56,29.3,241.9,0.24,27,,,,,,,
15:10:57,29.8,241.9,0.243,28,,,,,,,
15:10:58,30.3,241.6,0.263,29,,,,,,,
15:10:59,30.9,241.6,0.258,30,,,,,,,
15:11:00,31.3,241.7,0.265,31,,,,,,,
15:11:01,31.6,241.7,0.247,32,,,,,,,
15:11:02,31.8,241.8,0.257,33,,,,,,,
15:11:03,31.9,241.8,0.247,34,,,,,,,
15:11:04,32,241.7,0.24,35,,,,,,,
15:11:05,32.1,241.7,0.241,36,,,,,,,
15:11:06,32.2,241.6,0.242,37,,,,,,,
15:11:07,32.3,241.3,0.22,38,,,,,,,
15:11:08,32.1,241.1,0.221,39,,,,,,,
15:11:09,31.8,241.3,0.217,40,,,,,,,
15:11:10,31.5,241.2,0.228,41,,,,,,,
15:11:11,31.4,241.4,0.221,42,,,,,,,
15:11:12,31.3,241.3,0.214,43,,,,,,,
15:11:13,31.1,241.3,0.21,44,,,,,,,
15:11:14,30.9,241.2,0.215,45,,,,,,,
15:11:15,30.8,241,0.234,46,,,,,,,
15:11:16,30.3,241,0.134,47,,,,,,,
15:11:17,19.9,241,0.145,48,,,,,,,
15:11:18,20,241,0.148,49,,,,,,,
15:11:19,20.3,241,0.153,50,15:11:19,java -jar ISQoSTestApp.jar 5 5 30,TRUE,C:\Users\Richard\Documents\University Work\Research\ASCETiC\ProjectSVN\trunk\utils\wattsup\.,,test.out,error.out
15:11:20,20.6,241,0.15,51,,,,,,,
15:11:21,20.3,240.9,0.105,52,,,,,,,
15:11:22,14.5,240.9,0.102,53,,,,,,,
15:11:23,14.5,241,0.104,54,,,,,,,
15:11:24,14.4,241.1,0.105,55,,,,,,,
